date,total_pnl,median_pnl,trade_count,win_rate,total_volume,avg_trade_size,long_ratio,fg_value,classification,is_profitable,weekend,cumulative_pnl,sentiment_group,fg_yest,pnl_yest,vol_yest,target,intensity_q,sharpe_proxy
2024-03-08,4271.886236,12.4432,67,0.8805970149253731,183583.18,2740.047462686567,0.2835820895522388,81.0,Extreme Greed,True,False,114306.48619400001,Greed,75.0,6814.825139,327218.02,1.0,High,0.4451677898069858
2024-03-09,9949.501624,25.01825,117,0.8290598290598291,658178.75,5625.459401709401,0.7094017094017094,84.0,Extreme Greed,True,True,124255.98781800001,Greed,81.0,4271.886236,183583.18,1.0,High,1.042674337123934
2024-03-10,2482.9272,2.505,42,0.6904761904761905,219973.85,5237.472619047619,0.9047619047619048,79.0,Extreme Greed,True,True,126738.91501800001,Greed,84.0,9949.501624,658178.75,1.0,High,0.2714396439716166
2024-03-11,3588.179495,18.72521,42,0.9285714285714286,176519.44999999998,4202.844047619047,0.2857142857142857,82.0,Extreme Greed,True,False,130327.09451300002,Greed,79.0,2482.9272,219973.85,1.0,High,0.37473224189214527
2024-03-12,3039.166,16.76285,8,0.875,103040.85,12880.10625,0.125,81.0,Extreme Greed,True,False,133366.26051300002,Greed,82.0,3588.179495,176519.44999999998,0.0,High,0.4936744267271841
2024-03-13,0.0,0.0,7,0.0,6000.799999999999,857.2571428571428,1.0,81.0,Extreme Greed,False,False,133366.26051300002,Greed,81.0,3039.166,103040.85,1.0,High,0.0
2024-03-14,3465.865832,50.144227,18,0.8888888888888888,205933.18,11440.732222222221,0.1111111111111111,88.0,Extreme Greed,True,False,136832.12634500003,Greed,81.0,0.0,6000.799999999999,1.0,High,1.1453258686286232
2024-03-15,6236.513651,24.1152,62,0.6612903225806451,351894.41,5675.71629032258,0.41935483870967744,83.0,Extreme Greed,True,False,143068.639996,Greed,88.0,3465.865832,205933.18,1.0,High,1.9722378753465024
2024-03-16,228.57984,0.0,8,0.125,37223.66,4652.9575,0.625,81.0,Extreme Greed,True,True,143297.219836,Greed,83.0,6236.513651,351894.41,1.0,High,0.1068870136619892
2024-03-17,503.293955,0.0,23,0.43478260869565216,99506.95,4326.389130434783,0.782608695652174,79.0,Extreme Greed,True,True,143800.513791,Greed,81.0,228.57984,37223.66,1.0,High,0.21883037494647103
2024-03-18,1456.9577,0.0,19,0.3157894736842105,90458.08,4760.951578947369,0.6842105263157895,77.0,Extreme Greed,True,False,145257.471491,Greed,79.0,503.293955,99506.95,1.0,High,0.6438278358367696
2024-03-19,668.797973,0.0,24,0.20833333333333334,219884.84,9161.868333333334,0.7083333333333334,79.0,Extreme Greed,True,False,145926.269464,Greed,77.0,1456.9577,90458.08,1.0,High,0.2930730447466309
2024-03-20,6423.134599,14.004,69,0.8695652173913043,215705.85,3126.171739130435,0.42028985507246375,74.0,Greed,True,False,152349.40406300002,Greed,79.0,668.797973,219884.84,1.0,Mid-High,2.38388731281249
2024-03-21,2335.5080749999997,27.4342,28,0.8214285714285714,117895.57,4210.556071428572,0.9285714285714286,78.0,Extreme Greed,True,False,154684.912138,Greed,74.0,6423.134599,215705.85,1.0,High,0.8729298775592023
2024-03-24,1297.018477,35.104212,19,0.7894736842105263,92592.20999999999,4873.274210526315,0.7894736842105263,74.0,Greed,True,True,155981.93061500002,Greed,78.0,2335.5080749999997,117895.57,1.0,Mid-High,0.6064187830358879
2024-03-25,1302.916428,149.807117,7,0.8571428571428571,57116.32,8159.4742857142855,0.0,75.0,Extreme Greed,True,False,157284.84704300002,Greed,74.0,1297.018477,92592.20999999999,1.0,High,0.6387575016129722
2024-03-26,3215.906593,18.078525,118,0.9322033898305084,198565.19,1682.7558474576272,0.06779661016949153,81.0,Extreme Greed,True,False,160500.753636,Greed,75.0,1302.916428,57116.32,1.0,High,1.6368320534559715
2024-03-27,150.41114,0.0,38,0.3157894736842105,99864.79,2628.020789473684,0.5,83.0,Extreme Greed,True,False,160651.16477600002,Greed,81.0,3215.906593,198565.19,1.0,High,0.0708378596781613
2024-03-28,227.85100799999998,12.233936,13,0.6923076923076923,35323.72,2717.209230769231,0.9230769230769231,80.0,Extreme Greed,True,False,160879.01578400002,Greed,83.0,150.41114,99864.79,1.0,High,0.10442247156793279
2024-03-29,883.097404,0.0,15,0.4,86914.37,5794.291333333333,0.6,79.0,Extreme Greed,True,False,161762.11318800002,Greed,80.0,227.85100799999998,35323.72,1.0,High,0.7965920091896452
2024-03-30,1100.57514,10.11075,45,0.9777777777777777,101103.92,2246.753777777778,0.022222222222222223,75.0,Extreme Greed,True,True,162862.68832800002,Greed,79.0,883.097404,86914.37,1.0,High,1.0797347542552562
2024-03-31,912.786145,16.0695,13,0.7692307692307693,39912.96,3070.2276923076925,0.0,75.0,Extreme Greed,True,True,163775.474473,Greed,75.0,1100.57514,101103.92,1.0,High,0.8935264037939906
2024-04-01,2507.963406,0.54675,77,0.5454545454545454,339470.47,4408.7074025974025,0.4155844155844156,79.0,Extreme Greed,True,False,166283.437879,Greed,75.0,912.786145,39912.96,1.0,High,2.177003562355365
2024-04-02,883.760812,0.0,41,0.2926829268292683,239664.50999999998,5845.475853658536,0.24390243902439024,79.0,Extreme Greed,True,False,167167.198691,Greed,79.0,2507.963406,339470.47,1.0,High,1.1376211327623404
2024-04-03,126.7884,0.0,4,0.25,16887.57,4221.8925,0.75,71.0,Greed,True,False,167293.987091,Greed,79.0,883.760812,239664.50999999998,0.0,Mid-High,0.16235054030231094
2024-04-04,0.0,0.0,32,0.0,95987.73,2999.6165625,0.0,70.0,Greed,False,False,167293.987091,Greed,71.0,126.7884,16887.57,1.0,Mid-High,0.0
2024-04-05,10706.484306,8.978760000000001,100,0.9,503791.8,5037.918,0.17,79.0,Extreme Greed,True,False,178000.471397,Greed,70.0,0.0,95987.73,1.0,High,2.826464208587304
2024-04-06,236.33513399999998,0.0,16,0.25,68223.67,4263.979375,0.0,75.0,Extreme Greed,True,True,178236.80653099998,Greed,79.0,10706.484306,503791.8,0.0,High,0.06141904112047262
2024-04-07,0.0,0.0,23,0.0,49988.14,2173.397391304348,0.0,78.0,Extreme Greed,False,True,178236.80653099998,Greed,75.0,236.33513399999998,68223.67,1.0,High,0.0
2024-04-08,1218.4267,0.0,30,0.03333333333333333,211940.64,7064.688,0.03333333333333333,76.0,Extreme Greed,True,False,179455.233231,Greed,78.0,0.0,49988.14,0.0,High,0.31085219825424926
2024-04-09,0.0,0.0,3,0.0,57063.840000000004,19021.280000000002,0.0,80.0,Extreme Greed,False,False,179455.233231,Greed,76.0,1218.4267,211940.64,1.0,High,0.0
2024-04-10,5207.443414,32.322,41,0.8780487804878049,351735.97,8578.926097560974,0.975609756097561,78.0,Extreme Greed,True,False,184662.676645,Greed,80.0,0.0,57063.840000000004,1.0,High,1.2743429060893734
2024-04-11,389.743164,0.0,16,0.125,76400.96,4775.06,0.875,76.0,Extreme Greed,True,False,185052.419809,Greed,78.0,5207.443414,351735.97,0.0,High,0.09624662821586412
2024-04-12,-592.6458390000001,4.032548,129,0.5503875968992248,442088.59,3427.0433333333335,0.3333333333333333,79.0,Extreme Greed,False,False,184459.77397,Greed,76.0,389.743164,76400.96,1.0,High,-0.30138445452114304
2024-04-13,6621.451755,15.90732,89,0.6853932584269663,486411.25,5465.294943820225,0.5168539325842697,72.0,Greed,True,True,191081.225725,Greed,79.0,-592.6458390000001,442088.59,0.0,Mid-High,2.3080850595914693
2024-04-14,-36104.012520000004,0.0,107,0.308411214953271,659162.17,6160.394112149533,0.42990654205607476,72.0,Greed,False,True,154977.21320499998,Greed,72.0,6621.451755,486411.25,1.0,Mid-High,-2.453576013393347
2024-04-15,3774.08872,14.65548,41,0.8536585365853658,291111.19,7100.272926829269,0.43902439024390244,74.0,Greed,True,False,158751.30192499998,Greed,72.0,-36104.012520000004,659162.17,1.0,Mid-High,0.2536841542194898
2024-04-16,2467.702221,17.7287,47,0.9148936170212766,181907.17,3870.3653191489366,0.6595744680851063,65.0,Greed,True,False,161219.004146,Greed,74.0,3774.08872,291111.19,1.0,Mid-Low,0.16464838611678634
2024-04-17,2441.4683999999997,48.21955,14,0.9285714285714286,97562.99,6968.785000000001,0.9285714285714286,67.0,Greed,True,False,163660.472546,Greed,65.0,2467.702221,181907.17,1.0,Mid-Low,0.1651597817017653
2024-04-19,1946.4454620000001,19.918472,35,0.7714285714285715,337257.92000000004,9635.940571428573,0.14285714285714285,66.0,Greed,True,False,165606.918008,Greed,67.0,2441.4683999999997,97562.99,0.0,Mid-Low,0.13104286826931227
2024-04-20,0.0,0.0,22,0.0,60733.24,2760.601818181818,0.9090909090909091,66.0,Greed,False,True,165606.918008,Greed,66.0,1946.4454620000001,337257.92000000004,0.0,Mid-Low,0.0
2024-04-22,0.0,0.0,9,0.0,47993.61,5332.623333333333,0.0,73.0,Greed,False,False,165606.918008,Greed,66.0,0.0,60733.24,1.0,Mid-High,0.0
2024-04-23,1119.536196,0.07805000000000001,66,0.5303030303030303,233054.9,3531.1348484848486,0.5606060606060606,71.0,Greed,True,False,166726.454204,Greed,73.0,0.0,47993.61,1.0,Mid-High,0.80463040627118
2024-04-24,279.185907,0.0,20,0.3,141275.24,7063.762,0.65,72.0,Greed,True,False,167005.64011100002,Greed,71.0,1119.536196,233054.9,0.0,Mid-High,0.2507696820580978
2024-04-25,0.0,0.0,74,0.0,120241.01,1624.8785135135136,1.0,72.0,Greed,False,False,167005.64011100002,Greed,72.0,279.185907,141275.24,0.0,Mid-High,0.0
2024-04-26,0.0,0.0,3,0.0,4988.290000000001,1662.7633333333335,0.0,70.0,Greed,False,False,167005.64011100002,Greed,72.0,0.0,120241.01,1.0,Mid-High,0.0
2024-04-27,4281.488139,61.458,27,0.7037037037037037,154264.47,5713.498888888889,0.0,67.0,Greed,True,True,171287.12825,Greed,70.0,0.0,4988.290000000001,0.0,Mid-Low,2.703062456444455
2024-04-28,0.0,0.0,58,0.0,43985.6,758.3724137931034,0.0,65.0,Greed,False,True,171287.12825,Greed,67.0,4281.488139,154264.47,1.0,Mid-Low,0.0
2024-04-29,526.9338359999999,0.0,45,0.37777777777777777,108699.01,2415.5335555555553,0.5333333333333333,67.0,Greed,True,False,171814.06208600002,Greed,65.0,0.0,43985.6,0.0,Mid-Low,0.33970978051460227
